Rank,Team,BT_Rating
1,Connecticut,47.560464248725616
2,South Carolina,44.25924064950145
3,UCLA,43.8069029926068
4,LSU,43.63621544990579
5,Texas,42.49928816656693
6,Michigan,36.16910709331033
7,Oklahoma,32.02954792124392
8,Vanderbilt,31.80836295655661
9,Duke,31.094714864064585
10,Louisville,29.89283152122153
11,Iowa,29.62839554647484
12,TCU,29.548657612516813
13,Maryland,29.45892959928908
14,Michigan St,29.186493905416476
15,Minnesota,29.01170535661081
16,Kentucky,28.82097050069433
17,West Virginia,28.80087428277172
18,Ohio St,28.64576255182801
19,North Carolina,26.68813973735573
20,Tennessee,25.82415705188379
21,Mississippi,25.53753980842688
22,USC,24.70540759495919
23,Nebraska,24.34014551812096
24,NC State,24.32329354406312
25,Notre Dame,24.27980680346765
26,Oklahoma St,23.413297165807787
27,Oregon,23.188867968422336
28,Iowa St,22.47987144095692
29,Washington,22.33301776090179
30,Illinois,22.23991853302022
31,Texas Tech,22.15575924980852
32,Alabama,21.949104558338167
33,Baylor,21.88743168685568
34,Georgia,21.84989251720268
35,Villanova,20.123892055608085
36,Virginia,18.95451414118955
37,Virginia Tech,18.52481118137925
38,Mississippi St,18.450072094810366
39,Syracuse,18.387888516968445
40,Richmond,17.585548992298666
41,Stanford,17.379277994040578
42,Florida,16.965609789204287
43,Clemson,16.921771902121826
44,Colorado,16.898351300394726
45,S Dakota St,16.6439884242603
46,Princeton,16.244758980696712
47,James Madison,15.619963757052338
48,California,15.390850543616994
49,Kansas,15.223162794300933
50,N Dakota St,15.131098717005983
51,Arizona St,14.548877111767665
52,Fairfield,14.175414774120387
53,Miami FL,14.16385660452109
54,Rhode Island,14.121049258277942
55,Indiana,13.985728653479944
56,BYU,13.95123948364534
57,Columbia,13.877535952154805
58,Utah,13.867989247714751
59,Kansas St,13.652990245697978
60,Texas A&M,13.47282760043415
61,Rice,11.97337414243476
62,Seton Hall,11.908115819341909
63,Gonzaga,11.494599511963818
64,Montana St,11.43785101789987
65,Marquette,11.34840384118313
66,George Mason,11.118737635091977
67,Harvard,10.910931192591809
68,Ball St,10.44341375504111
69,Troy,10.41183147016109
70,Georgia Tech,10.367153220180304
71,Purdue,10.256333864083574
72,Davidson,10.104277346328615
73,Santa Clara,9.839068508291264
74,South Florida,9.730268291737282
75,Colorado St,9.66941183552188
76,San Diego St,9.53856700394971
77,Ga Southern,9.472569064362355
78,Missouri,9.037539395487372
79,Wisconsin,9.030144978698736
80,Miami OH,8.929003355826886
81,Auburn,8.86627261422694
82,Arkansas St,8.692523450182382
83,Murray St,8.597236641998508
84,Louisiana Tech,8.54879404021748
85,Creighton,7.931998121951162
86,UC Irvine,7.913927120633253
87,Georgetown,7.900280493417997
88,Oregon St,7.830091244424796
89,Quinnipiac,7.76594960465372
90,St Joseph's PA,7.661084324557509
91,Penn St,7.467076815127365
92,North Texas,7.2424612995485775
93,UNLV,7.231534560608649
94,Idaho,7.1550292917031175
95,W Illinois,6.996830067217361
96,Lindenwood,6.944180103783751
97,Vermont,6.838326494110889
98,McNeese St,6.818764971090968
99,Massachusetts,6.7968980542209145
100,St John's,6.696343384172343
101,Belmont,6.654424782815349
102,Florida St,6.652877403445992
103,Marshall,6.427684699795044
104,WI Green Bay,6.291660677970191
105,Cincinnati,6.267988920112291
106,Arkansas,6.107014834050806
107,Col Charleston,5.5701476557815175
108,Arizona,4.805441037357321
109,Boise St,4.754714596621884
110,Loy Marymount,4.7295679408471765
111,Cent Arkansas,4.682215484824051
112,E Kentucky,4.637761693458595
113,Abilene Chr,4.490679927923479
114,New Mexico,4.424272945826767
115,Wake Forest,4.3245212978655845
116,C Michigan,3.8747505901889534
117,East Carolina,3.868887081055253
118,Pepperdine,3.829268374486305
119,Butler,3.8041652051407584
120,Northwestern,3.706533168288797
121,Northern Iowa,3.700709104962765
122,Temple,3.6454620968162255
123,UC San Diego,3.566809795579708
124,Portland,3.408141802535719
125,Grand Canyon,3.354697203442605
126,Penn,3.3210507769950466
127,Navy,3.3168270846966914
128,Missouri St,3.2965016852191025
129,Coastal Car,3.1167298917996464
130,Cal Baptist,2.897120327870391
131,South Dakota,2.8413176062663785
132,UCF,2.8066778502354937
133,Army,2.7463060553998973
134,Brown,2.695700201970915
135,Southern Indiana,2.663526432125964
136,Illinois St,2.511299641572526
137,Idaho St,2.4988917121129424
138,UC Santa Barbara,2.288003456371228
139,UT San Antonio,2.135737318616089
140,F Dickinson,1.8779903133088915
141,Hawaii,1.854498817253289
142,High Point,1.821566525905089
143,PFW,1.7069145214456365
144,Cleveland St,1.6778642521092615
145,N Colorado,1.4760885718559411
146,Youngstown St,1.3317895154740869
147,Providence,1.3011848115454894
148,Jacksonville,1.1638748140466997
149,Liberty,1.0792885335331048
150,Old Dominion,0.7178190354881719
151,Sam Houston St,0.6950311775479956
152,Maine,0.6757154826564072
153,Rutgers,0.6313841118263823
154,MTSU,0.5413934832325945
155,Charlotte,0.4984344204996076
156,Bradley,0.4955079178809173
157,Tulsa,0.3452130343894678
158,UC Davis,0.3416190016619301
159,La Salle,0.3258844105131684
160,Fresno St,0.3051333176640349
161,ULM,0.2434188422919365
162,Ohio,0.2082043448476174
163,Kent,0.203627838575905
164,Toledo,0.1590573591952522
165,Austin Peay,0.1283888125104683
166,St Mary's CA,-0.0261226958820828
167,SF Austin,-0.0520508420086688
168,Drexel,-0.1308075480772776
169,G Washington,-0.1383742675482419
170,Howard,-0.2237053288724375
171,Tulane,-0.2581677144462596
172,Holy Cross,-0.3311312230769554
173,Bryant,-0.4962155073876184
174,Dayton,-0.7965386343394897
175,San Francisco,-0.8446443592751492
176,Appalachian St,-1.0594839053124163
177,Florida Intl,-1.087208915173835
178,Southern Utah,-1.1572769594340648
179,FGCU,-1.2248209961467675
180,Houston,-1.2804195362570805
181,Binghamton,-1.319988545281795
182,N Kentucky,-1.6743493658309143
183,Oral Roberts,-1.7234190858504643
184,SUNY Albany,-1.7403188242737713
185,Southern Miss,-1.8075351662076944
186,Stetson,-1.850617437290216
187,NJIT,-1.996661574039308
188,Utah Valley,-2.052910829147645
189,DePaul,-2.1240661708853485
190,South Alabama,-2.2807694599886483
191,E Michigan,-2.3145751891517805
192,Bowling Green,-2.3990479765961408
193,Lamar,-2.4507592353941723
194,UMBC,-2.6317473296114744
195,Xavier,-2.667024696994448
196,Norfolk St,-2.6793585702728584
197,IL Chicago,-2.698579403095108
198,CS Fullerton,-2.7180366694259868
199,UAB,-2.790704125491516
200,Lehigh,-2.805238661727264
201,Longwood,-3.035629430798836
202,Loyola-Chicago,-3.204878536419882
203,Robert Morris,-3.425630025440968
204,Monmouth NJ,-3.453936226351619
205,Pacific,-3.464810960596441
206,St Bonaventure,-3.6019085067052927
207,Elon,-3.647469250047195
208,Morehead St,-3.756999876657474
209,E Washington,-3.933085287598695
210,Air Force,-4.15847336566148
211,Memphis,-4.274286131187143
212,Alabama A&M,-4.314855750768352
213,Campbell,-4.335007025093981
214,Tarleton St,-4.3799470672102565
215,Duquesne,-4.4178290457754015
216,SMU,-4.448229160347221
217,Tennessee Tech,-4.4702970961064565
218,Boston College,-4.4764818017895855
219,CS Sacramento,-4.558044332156283
220,Nevada,-4.574008760431158
221,Drake,-4.595327771540801
222,St Louis,-4.670257131476093
223,Jacksonville St,-4.6805281083242285
224,Radford,-4.776798496242061
225,UC Riverside,-4.801029958599847
226,Chattanooga,-4.808986259567216
227,Southern Univ,-4.901349509700775
228,Washington St,-5.005908636437829
229,UTRGV,-5.090534148067643
230,Northwestern LA,-5.142915183667876
231,Wofford,-5.168671166530384
232,William & Mary,-5.19790366451771
233,Merrimack,-5.293871924975858
234,UT Arlington,-5.33744565152103
235,Georgia St,-5.4893387002678695
236,Towson,-5.492186549756693
237,Stony Brook,-5.668301484189728
238,St Thomas MN,-5.691813556942553
239,West Georgia,-5.759487509328822
240,VCU,-5.792977760778896
241,Wyoming,-5.855793044897325
242,Ark Little Rock,-5.940778317721253
243,Kennesaw,-6.011512044509972
244,North Alabama,-6.064033118306452
245,Fordham,-6.204631332173439
246,Delaware,-6.214008963800825
