Rank,Team,Elo_Rating
1,Michigan,1774.1371268409569
2,Duke,1772.444890926424
3,Miami OH,1759.8714808651746
4,Arizona,1757.18864073215
5,Connecticut,1739.240274862808
6,Gonzaga,1732.274844830029
7,St Mary's CA,1725.8364235750566
8,Virginia,1722.2953905964278
9,Florida,1713.3807263392832
10,St John's,1698.134259257166
11,Michigan St,1697.4208840758442
12,St Louis,1690.9214945640608
13,Texas Tech,1688.187896040103
14,Akron,1687.321427926558
15,SF Austin,1687.1894184686575
16,McNeese St,1685.675161092786
17,Alabama,1684.4869511906927
18,Belmont,1683.950181677333
19,Nebraska,1682.7808310460316
20,Houston,1680.9554385794584
21,High Point,1674.413331757762
22,Utah St,1673.1382095140232
23,North Carolina,1672.3389291193384
24,Miami FL,1669.0234518849902
25,Iowa St,1666.7740215105011
26,Navy,1665.882521713335
27,Kansas,1664.8392257505532
28,Santa Clara,1663.445471917091
29,UNC Wilmington,1662.767941258617
30,Yale,1656.8406060159757
31,VCU,1655.788820194147
32,Illinois,1654.9382811705736
33,Liberty,1652.968356130404
34,Villanova,1651.2107469296757
35,South Florida,1649.646691269177
36,Purdue,1639.2318054580612
37,Merrimack,1638.668017786362
38,Arkansas,1637.8340317375637
39,Tulsa,1637.8312110026786
40,New Mexico,1634.7233521818982
41,N Dakota St,1632.7947059189237
42,Utah Valley,1632.2104330889365
43,Col Charleston,1628.9232601417093
44,Cal Baptist,1621.559952154848
45,Clemson,1621.1868982056635
46,Wisconsin,1620.7168846219988
47,Vanderbilt,1618.8552482003229
48,Sam Houston St,1616.9533056366176
49,Dayton,1614.7092597792948
50,Hawaii,1610.9020983699734
51,Tennessee,1610.7767728192223
52,Tennessee St,1609.9481889512017
53,Missouri,1608.2284378577874
54,Louisville,1607.2037011083792
55,UCF,1604.7688141542924
56,Hofstra,1604.146529138721
57,Kent,1603.9312103123284
58,Austin Peay,1602.2516752108802
59,Wichita St,1601.6511699990922
60,Cent Arkansas,1601.4116289501544
61,Kentucky,1601.2331983629151
62,Robert Morris,1598.93425257768
63,St Thomas MN,1598.8730414592508
64,San Diego St,1598.207054684578
65,TCU,1597.3437506032358
66,BYU,1595.3159608171911
67,UC Irvine,1593.4496108102646
68,LIU Brooklyn,1592.5023140894305
69,NC State,1591.6595791481288
70,Iowa,1591.6313692524186
71,UMBC,1591.104817349262
72,Winthrop,1590.44534537016
73,Georgia,1586.1375123246942
74,UCLA,1585.7765798462335
75,St Joseph's PA,1584.7202147841565
76,Wright St,1584.54231525997
77,Ohio St,1583.1287839084018
78,Coastal Car,1582.9509794499083
79,Bradley,1582.673923005084
80,Texas,1582.5437783387624
81,Nevada,1579.8795407465452
82,George Mason,1578.6273472520247
83,Boise St,1578.0861087204803
84,UC San Diego,1576.3022059246705
85,Siena,1575.8720881251568
86,Morehead St,1575.8185116534075
87,California,1575.0305561209293
88,Illinois St,1574.0287653105925
89,Texas A&M,1572.7359786542313
90,Colorado St,1571.177023353423
91,Troy,1570.0946747688763
92,SMU,1569.4322179580145
93,South Alabama,1569.2475062345002
94,Arkansas St,1568.583832637125
95,Harvard,1567.460862357363
96,SE Missouri St,1565.299035321954
97,Grand Canyon,1565.2237987898843
98,Virginia Tech,1562.9133102677183
99,Utah Tech,1561.5865985834384
100,Fairfield,1561.274023146017
101,ETSU,1560.4616466194298
102,Bethune-Cookman,1559.739909469124
103,Seton Hall,1559.2758748925637
104,Texas St,1558.8151528694582
105,St Peter's,1558.4007370035308
106,Cincinnati,1555.308208131032
107,WKU,1553.9174636228588
108,UTRGV,1553.1839069901127
109,N Colorado,1550.0381817659315
110,Vermont,1549.1713945601143
111,Murray St,1548.489039208936
112,Stanford,1548.3781982715282
113,UAB,1547.5921059810564
114,CS Northridge,1547.0090401940297
115,Appalachian St,1546.614024869625
116,Penn,1546.1783849832982
