Rank,Team,GLM_Rating
1,Connecticut,51.82342423800072
2,UCLA,48.7075477009905
3,South Carolina,48.25590011815257
4,LSU,46.83804870783663
5,Texas,46.40226738252629
6,Michigan,40.442119219444514
7,Oklahoma,35.72753164268693
8,Vanderbilt,35.294062320518634
9,Duke,34.59726388467719
10,Iowa,33.66665659762011
11,Louisville,33.63398051337034
12,Maryland,33.22196106510996
13,Michigan St,32.98422188751991
14,TCU,32.95384121925768
15,Minnesota,32.898144420606535
16,Ohio St,32.55594030715031
17,West Virginia,32.529808691823746
18,Kentucky,31.785275032492734
19,North Carolina,29.432974442996777
20,USC,29.107295515219448
21,Tennessee,29.0413134294724
22,Mississippi,28.33852165720138
23,Nebraska,28.314902642287446
24,NC State,27.678363949520197
25,Notre Dame,27.504411418821277
26,Oregon,26.92668786370001
27,Oklahoma St,26.530774714846537
28,Washington,26.021181692065912
29,Illinois,25.8318098346586
30,Iowa St,25.74173478037763
31,Texas Tech,25.487765174845453
32,Alabama,25.45206848688446
33,Baylor,25.10338700743091
34,Georgia,24.674857430108386
35,Villanova,22.67496345953102
36,Virginia,21.684026592610344
37,Mississippi St,21.36689410429998
38,Virginia Tech,21.36181763004953
39,Syracuse,21.286381118423986
40,Stanford,20.34479405212059
41,Colorado,20.189710916739376
42,Florida,19.71944136638558
43,Clemson,18.77497320336271
44,California,18.649550195781902
45,Richmond,18.39823841672028
46,Kansas,18.358536393117657
47,S Dakota St,17.735553656019945
48,Indiana,17.402359297089546
49,Arizona St,17.267822430675636
50,Miami FL,17.226950529820396
51,James Madison,17.208601840335064
52,Utah,17.005955550256964
53,BYU,16.942396397861458
54,Princeton,16.881341227415927
55,Texas A&M,16.829127198297435
56,Kansas St,16.545617525870547
57,N Dakota St,15.49883335840592
58,Rhode Island,14.583656253933306
59,Seton Hall,14.200817893641265
60,Columbia,13.89752536989518
61,Marquette,13.757299140072568
62,Rice,13.206031616105308
63,Purdue,13.175437044926843
64,Gonzaga,13.159143894976443
65,Fairfield,12.91278658632147
66,Georgia Tech,12.882191356449727
67,Wisconsin,12.28377506824991
68,George Mason,12.176087902756912
69,Missouri,11.973279634006593
70,South Florida,11.821218947317986
71,Montana St,11.614183936989123
72,Auburn,11.491344266391092
73,Harvard,11.261083246228116
74,San Diego St,11.218505784091782
75,Colorado St,11.043774601988344
76,Davidson,11.001239651261926
77,Santa Clara,10.784364984302217
78,Troy,10.70947704545245
79,Ball St,10.643054243564483
80,Penn St,10.561238118841988
81,Creighton,10.062325850014616
82,Ga Southern,9.913191447659896
83,Georgetown,9.898096398680307
84,Oregon St,9.86685926758224
85,Florida St,9.527529591563283
86,North Texas,9.046246022130152
87,Murray St,9.026361222595906
88,Louisiana Tech,8.894821236427248
89,Arkansas St,8.883379352664715
90,Miami OH,8.863600826383696
91,Cincinnati,8.699009435194508
92,Arkansas,8.521102395159996
93,UNLV,8.377304352272915
94,UC Irvine,8.338203239492305
95,St Joseph's PA,8.220569547242897
96,St John's,8.170966730399865
97,Arizona,7.621643962949497
98,Belmont,7.48606458154635
99,Idaho,6.9651400208928
100,Marshall,6.77320698509144
101,Northwestern,6.7179384868116125
102,Massachusetts,6.623735229218914
103,W Illinois,6.562785576369379
104,Wake Forest,6.545273766077287
105,Lindenwood,6.484868789355252
106,WI Green Bay,6.299601001410702
107,Boise St,6.053703987804072
108,Butler,6.052816731280828
109,Quinnipiac,5.96809238598491
110,McNeese St,5.715275424586673
111,Loy Marymount,5.693099413062919
112,New Mexico,5.371142300987359
113,UCF,5.334242860120551
114,East Carolina,4.916431274537979
115,Vermont,4.86048138594497
116,Temple,4.813578429830404
117,Abilene Chr,4.758052359201704
118,Pepperdine,4.708763928328946
119,Grand Canyon,4.657610719975291
120,Portland,4.497234210215856
121,Col Charleston,4.164765836906346
122,Missouri St,4.079384115184591
123,E Kentucky,3.871288939445775
124,Northern Iowa,3.825899355488648
125,C Michigan,3.6642370054428426
126,Cent Arkansas,3.3856986744834527
127,UC San Diego,3.3573960951534025
128,Coastal Car,3.1707186558421303
129,Providence,3.1218177119716994
130,Illinois St,3.1093340856083054
131,Rutgers,3.094035416995113
132,UT San Antonio,3.0292811293191235
133,Cal Baptist,3.016354532094385
134,Hawaii,2.61277386804343
135,South Dakota,2.566728853343226
136,Penn,2.5184078866343067
137,Idaho St,2.192217785718272
138,UC Santa Barbara,2.151735112400219
139,Southern Indiana,1.97172835731134
140,Navy,1.7811616479976822
141,PFW,1.6760235969015325
142,Charlotte,1.6374260223983774
143,Liberty,1.35650331194075
144,Cleveland St,1.3461994341444132
145,N Colorado,1.1420382306971524
146,Old Dominion,1.117528462185125
147,Tulsa,1.0807575814607857
148,Brown,1.0043900596161892
149,Tulane,0.9683279110928836
150,Fresno St,0.8973222668504977
151,Army,0.8912163470357419
152,Houston,0.8441703303371302
153,St Mary's CA,0.8205199278424966
154,Sam Houston St,0.6146153973255082
155,MTSU,0.6039099115474675
156,High Point,0.5887298107898209
157,Youngstown St,0.5187643371823141
158,ULM,0.4094953737877906
159,Jacksonville,0.3772476516628087
160,Bradley,0.2858500723062036
161,San Francisco,0.2783935856532729
162,La Salle,0.1743652882453377
163,Ohio,0.1505445758564496
164,G Washington,0.1478543436572872
165,Toledo,-0.0360953757728008
166,Kent,-0.1339629419155352
167,UC Davis,-0.2461065805985915
168,DePaul,-0.3948590509206635
169,F Dickinson,-0.5059238333731582
170,Dayton,-0.5184708089949872
171,Florida Intl,-0.7695524261879578
172,Austin Peay,-0.9558903267889924
173,Xavier,-0.9630248068781322
174,SF Austin,-1.0430867794866456
175,Appalachian St,-1.1232750911371516
176,Maine,-1.2005473939244968
177,Southern Utah,-1.3643098175041013
178,FGCU,-1.5834584558461833
179,Drexel,-1.5867509170456795
180,Southern Miss,-1.66768939116744
181,Howard,-1.7303864053053752
182,Oral Roberts,-1.882796772254487
183,Pacific,-1.974770220019411
184,Holy Cross,-1.9889127968570568
185,South Alabama,-2.106262444507429
186,UAB,-2.1594889712989467
187,N Kentucky,-2.195939181997862
188,Utah Valley,-2.3514195957910813
189,SMU,-2.425272338574948
190,Bowling Green,-2.6070077722815554
191,Boston College,-2.8652432985154705
192,Bryant,-2.884500724690993
193,CS Fullerton,-2.8979800942125467
194,IL Chicago,-2.919719037794187
195,Loyola-Chicago,-2.942709827797965
196,E Michigan,-2.955036201098335
197,Binghamton,-3.052670998478148
198,Stetson,-3.0952698647682544
199,SUNY Albany,-3.793146810500468
200,Washington St,-3.793439982973674
201,NJIT,-3.951787633490153
202,Memphis,-3.971471064460048
203,Lamar,-3.975717837843942
204,Nevada,-4.098431945805019
205,Drake,-4.253210348210945
206,Air Force,-4.398667975065476
207,St Louis,-4.416245235007291
208,E Washington,-4.446945691330599
209,Morehead St,-4.483314876038034
210,Longwood,-4.49295651184715
211,Robert Morris,-4.576718250455667
212,Lehigh,-4.58697678486993
213,Tarleton St,-4.591619935259506
214,St Bonaventure,-4.596639804327734
215,Norfolk St,-4.725821848555888
216,UMBC,-4.7439229421469244
217,Duquesne,-4.919621946887246
218,CS Sacramento,-5.119388118016897
219,Elon,-5.151030407812084
220,Tennessee Tech,-5.249046552667164
221,VCU,-5.305692749626835
222,UC Riverside,-5.312728911073202
223,St Thomas MN,-5.4626919236086
224,Wyoming,-5.537778621390314
225,UT Arlington,-5.548868796101751
226,Monmouth NJ,-5.605512299669255
227,Jacksonville St,-5.631809843444871
228,Georgia St,-5.670730816402828
229,FL Atlantic,-5.750850825739312
230,Alabama A&M,-5.919456278675876
231,Chattanooga,-5.983523688229822
232,Campbell,-6.265485359051715
233,Radford,-6.279892236501779
234,Kennesaw,-6.343193663586999
235,UTRGV,-6.343820437118532
236,Southern Univ,-6.346449535399102
237,Pittsburgh,-6.474322588881935
238,Northwestern LA,-6.559791403508556
239,Ark Little Rock,-6.571037742318452
240,Fordham,-6.735396194466394
241,Wofford,-6.850052694006036
242,Delaware,-6.909987034306337
243,Towson,-7.040738041986869
244,William & Mary,-7.067983141576879
245,West Georgia,-7.18889894088992
246,Stony Brook,-7.240375635145271
247,IUPUI,-7.388724351613768
248,SIUE,-7.441602812183498
249,Utah Tech,-7.461377978499386
250,Texas St,-7.531581489674257
251,North Alabama,-7.587153847708511
252,SE Missouri St,-7.778978567491911
253,TN Martin,-7.872204448051389
254,Merrimack,-7.903252365255768
255,Wichita St,-8.054912490924675
256,ETSU,-8.17474665943222
257,San Diego,-8.275622977757102
258,Northern Arizona,-8.506896589674103
259,MD E Shore,-8.628889081467236
260,Furman,-8.718940715010874
261,Weber St,-8.981383683174794
262,Mercer,-9.480260957041429
263,Oakland,-9.596934806492357
264,NC A&T,-9.63631365033676
265,Montana,-9.695627644783968
266,W Michigan,-9.734391155363404
267,Lipscomb,-10.21333159983531
268,Utah St,-10.303746854642933
269,Missouri KC,-10.409571575975502
270,Evansville,-10.532856094750803
271,UTEP,-10.64081469855794
272,WKU,-10.642053425779697
